TournamentID,StageID,StageSequence,StageURL
7934,23092,5,https://th.sportscorpion.com/eng/tournament/stage/23092/matches/?print
7934,23093,6,https://th.sportscorpion.com/eng/tournament/stage/23093/matches/?print
7934,23094,7,https://th.sportscorpion.com/eng/tournament/stage/23094/matches/?print
7934,23095,8,https://th.sportscorpion.com/eng/tournament/stage/23095/matches/?print
7934,23096,9,https://th.sportscorpion.com/eng/tournament/stage/23096/matches/?print
7934,23097,10,https://th.sportscorpion.com/eng/tournament/stage/23097/matches/?print
7934,23098,11,https://th.sportscorpion.com/eng/tournament/stage/23098/matches/?print
7947,23083,1,https://th.sportscorpion.com/eng/tournament/stage/23083/matches/?print
7947,23086,2,https://th.sportscorpion.com/eng/tournament/stage/23086/matches/?print
7947,23087,2,https://th.sportscorpion.com/eng/tournament/stage/23087/matches/?print
7947,23089,3,https://th.sportscorpion.com/eng/tournament/stage/23089/matches/?print
7946,23081,2,https://th.sportscorpion.com/eng/tournament/stage/23081/matches/?print
7941,23076,2,https://th.sportscorpion.com/eng/tournament/stage/23076/matches/?print
7944,23077,2,https://th.sportscorpion.com/eng/tournament/stage/23077/matches/?print
7945,23078,2,https://th.sportscorpion.com/eng/tournament/stage/23078/matches/?print
7945,23079,3,https://th.sportscorpion.com/eng/tournament/stage/23079/matches/?print
7945,23080,4,https://th.sportscorpion.com/eng/tournament/stage/23080/matches/?print
7928,23071,2,https://th.sportscorpion.com/eng/tournament/stage/23071/matches/?print
7928,23072,3,https://th.sportscorpion.com/eng/tournament/stage/23072/matches/?print
7928,23073,4,https://th.sportscorpion.com/eng/tournament/stage/23073/matches/?print
7928,23074,5,https://th.sportscorpion.com/eng/tournament/stage/23074/matches/?print
7928,23075,6,https://th.sportscorpion.com/eng/tournament/stage/23075/matches/?print
7775,23064,1,https://th.sportscorpion.com/eng/tournament/stage/23064/matches/?print
7775,23065,2,https://th.sportscorpion.com/eng/tournament/stage/23065/matches/?print
7775,23066,3,https://th.sportscorpion.com/eng/tournament/stage/23066/matches/?print
7775,23067,4,https://th.sportscorpion.com/eng/tournament/stage/23067/matches/?print
7775,23068,5,https://th.sportscorpion.com/eng/tournament/stage/23068/matches/?print
7935,23069,2,https://th.sportscorpion.com/eng/tournament/stage/23069/matches/?print
7935,23070,3,https://th.sportscorpion.com/eng/tournament/stage/23070/matches/?print
7776,23062,2,https://th.sportscorpion.com/eng/tournament/stage/23062/matches/?print
7776,23063,3,https://th.sportscorpion.com/eng/tournament/stage/23063/matches/?print
7869,23056,2,https://th.sportscorpion.com/eng/tournament/stage/23056/matches/?print
7913,23100,1,https://th.sportscorpion.com/eng/tournament/stage/23100/matches/?print
7913,23101,1,https://th.sportscorpion.com/eng/tournament/stage/23101/matches/?print
7913,23103,2,https://th.sportscorpion.com/eng/tournament/stage/23103/matches/?print
7913,23106,3,https://th.sportscorpion.com/eng/tournament/stage/23106/matches/?print
7913,23107,4,https://th.sportscorpion.com/eng/tournament/stage/23107/matches/?print
7929,23058,2,https://th.sportscorpion.com/eng/tournament/stage/23058/matches/?print
7929,23060,3,https://th.sportscorpion.com/eng/tournament/stage/23060/matches/?print
7925,23050,2,https://th.sportscorpion.com/eng/tournament/stage/23050/matches/?print
7926,23053,2,https://th.sportscorpion.com/eng/tournament/stage/23053/matches/?print
7924,23044,2,https://th.sportscorpion.com/eng/tournament/stage/23044/matches/?print
7924,23051,3,https://th.sportscorpion.com/eng/tournament/stage/23051/matches/?print
7924,23052,4,https://th.sportscorpion.com/eng/tournament/stage/23052/matches/?print
7908,23049,2,https://th.sportscorpion.com/eng/tournament/stage/23049/matches/?print
7910,23045,2,https://th.sportscorpion.com/eng/tournament/stage/23045/matches/?print
7910,23046,3,https://th.sportscorpion.com/eng/tournament/stage/23046/matches/?print
7910,23047,4,https://th.sportscorpion.com/eng/tournament/stage/23047/matches/?print
7910,23048,5,https://th.sportscorpion.com/eng/tournament/stage/23048/matches/?print
7909,23041,2,https://th.sportscorpion.com/eng/tournament/stage/23041/matches/?print
7921,23035,2,https://th.sportscorpion.com/eng/tournament/stage/23035/matches/?print
7914,23037,1,https://th.sportscorpion.com/eng/tournament/stage/23037/matches/?print
7914,23042,2,https://th.sportscorpion.com/eng/tournament/stage/23042/matches/?print
7914,23043,3,https://th.sportscorpion.com/eng/tournament/stage/23043/matches/?print
7923,23036,2,https://th.sportscorpion.com/eng/tournament/stage/23036/matches/?print
7923,23038,3,https://th.sportscorpion.com/eng/tournament/stage/23038/matches/?print
7923,23039,4,https://th.sportscorpion.com/eng/tournament/stage/23039/matches/?print
7923,23040,5,https://th.sportscorpion.com/eng/tournament/stage/23040/matches/?print
7919,23032,2,https://th.sportscorpion.com/eng/tournament/stage/23032/matches/?print
7919,23033,3,https://th.sportscorpion.com/eng/tournament/stage/23033/matches/?print
7919,23034,4,https://th.sportscorpion.com/eng/tournament/stage/23034/matches/?print
7920,23031,2,https://th.sportscorpion.com/eng/tournament/stage/23031/matches/?print
7850,23017,2,https://th.sportscorpion.com/eng/tournament/stage/23017/matches/?print
7850,23029,3,https://th.sportscorpion.com/eng/tournament/stage/23029/matches/?print
7850,23030,4,https://th.sportscorpion.com/eng/tournament/stage/23030/matches/?print
7879,23016,2,https://th.sportscorpion.com/eng/tournament/stage/23016/matches/?print
7879,23018,3,https://th.sportscorpion.com/eng/tournament/stage/23018/matches/?print
7879,23023,4,https://th.sportscorpion.com/eng/tournament/stage/23023/matches/?print
7879,23024,5,https://th.sportscorpion.com/eng/tournament/stage/23024/matches/?print
7879,23025,6,https://th.sportscorpion.com/eng/tournament/stage/23025/matches/?print
7879,23026,7,https://th.sportscorpion.com/eng/tournament/stage/23026/matches/?print
7885,23015,1,https://th.sportscorpion.com/eng/tournament/stage/23015/matches/?print
7885,23019,2,https://th.sportscorpion.com/eng/tournament/stage/23019/matches/?print
7885,23020,3,https://th.sportscorpion.com/eng/tournament/stage/23020/matches/?print
7885,23022,4,https://th.sportscorpion.com/eng/tournament/stage/23022/matches/?print
7885,23027,5,https://th.sportscorpion.com/eng/tournament/stage/23027/matches/?print
7885,23028,6,https://th.sportscorpion.com/eng/tournament/stage/23028/matches/?print
7828,23000,2,https://th.sportscorpion.com/eng/tournament/stage/23000/matches/?print
7828,23002,3,https://th.sportscorpion.com/eng/tournament/stage/23002/matches/?print
7828,23003,4,https://th.sportscorpion.com/eng/tournament/stage/23003/matches/?print
7828,23004,5,https://th.sportscorpion.com/eng/tournament/stage/23004/matches/?print
7828,23008,6,https://th.sportscorpion.com/eng/tournament/stage/23008/matches/?print
7828,23009,7,https://th.sportscorpion.com/eng/tournament/stage/23009/matches/?print
7828,23010,8,https://th.sportscorpion.com/eng/tournament/stage/23010/matches/?print
